證券代碼,簡稱,年月日,開盤價(元),收盤價(元),成交量(千股)
00697B ,元大美債7-10 ,20170725,    38.1862,    38.1669,     1805
00687B ,國泰20年美債 ,20170725,    38.4551,    38.2397,      182
00694B ,富邦美債1-3  ,20170725,    38.6667,    38.6379,     1993
00695B ,富邦美債7-10 ,20170725,    36.4438,    36.3892,     1404
00696B ,富邦美債20年 ,20170726,    37.6174,    37.6552,     1627
00679B ,元大美債20年 ,20170726,    36.2663,    36.1921,     1917
00697B ,元大美債7-10 ,20170726,    37.9840,    38.0417,     1806
00687B ,國泰20年美債 ,20170726,    37.7902,    37.7995,      257
00694B ,富邦美債1-3  ,20170726,    38.6955,    38.6955,     2450
00695B ,富邦美債7-10 ,20170726,    36.2711,    36.2711,     1600
00696B ,富邦美債20年 ,20170727,    37.5229,    37.5418,     2271
00679B ,元大美債20年 ,20170727,    36.2107,    36.0808,     2561
00697B ,元大美債7-10 ,20170727,    38.0032,    37.8588,     1902
00687B ,國泰20年美債 ,20170727,    37.7995,    37.7433,      294
00694B ,富邦美債1-3  ,20170727,    38.5131,    38.4651,     2145
00695B ,富邦美債7-10 ,20170727,    36.2166,    36.1348,     1055
00696B ,富邦美債20年 ,20170728,    37.4567,    37.4851,     1405
00679B ,元大美債20年 ,20170728,    36.0251,    36.0344,     2270
00697B ,元大美債7-10 ,20170728,    37.8588,    37.9358,     1818
00687B ,國泰20年美債 ,20170728,    37.6590,    37.6590,      115
00694B ,富邦美債1-3  ,20170728,    38.5611,    38.5515,     1540
00695B ,富邦美債7-10 ,20170728,    36.0984,    36.2166,     1688
00696B ,富邦美債20年 ,20170731,    37.6742,    37.6552,      860
00679B ,元大美債20年 ,20170731,    36.2199,    36.1550,     1852
00697B ,元大美債7-10 ,20170731,    37.9743,    37.9647,     1840
00687B ,國泰20年美債 ,20170731,    37.6497,    37.7714,      116
00694B ,富邦美債1-3  ,20170731,    38.5803,    38.5611,     1850
00695B ,富邦美債7-10 ,20170731,    36.2711,    36.2620,     1410
00696B ,富邦美債20年 ,20170801,    37.3905,    37.4094,     1202
00679B ,元大美債20年 ,20170801,    36.0622,    35.9880,     1879
00697B ,元大美債7-10 ,20170801,    37.7721,    37.7913,     1820
00687B ,國泰20年美債 ,20170801,    37.6216,    37.5935,      733
00694B ,富邦美債1-3  ,20170801,    38.4555,    38.4747,     1716
00695B ,富邦美債7-10 ,20170801,    36.0893,    36.0984,     1750
00696B ,富邦美債20年 ,20170802,    37.7687,    37.8538,     1300
00679B ,元大美債20年 ,20170802,    36.2849,    36.3591,     1902
00697B ,元大美債7-10 ,20170802,    38.0032,    38.0321,     1812
00687B ,國泰20年美債 ,20170802,    37.9400,    37.9681,      400
00694B ,富邦美債1-3  ,20170802,    38.5323,    38.6091,     1550
